v_net_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,long_term_r2c_ratio,long_term_time_r2c_ratio,num_running_p_net_nodes,event_id,event_type,event_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,v_net_id,v_net_lifetime,v_net_arrival_time,v_net_num_nodes,v_net_num_egdes,result,node_slots,link_paths,node_slots_info,link_paths_info,v_net_cost,v_net_revenue,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_node_revenue,v_net_link_revenue,v_net_node_cost,v_net_link_cost,v_net_path_cost,v_net_r2c_ratio,v_net_time_cost,v_net_time_revenue,v_net_time_rc_ratio,description,v_net_violation,v_net_current_violation,v_net_place_violation,v_net_route_violation,v_net_budget,v_net_place_budget,v_net_route_budget,place_result,route_result,early_rejection,revoke_times,selected_actions,v_net_reward,num_interactions,num_placed_nodes,num_routed_links
1,1,1,139.0,240.0,34132.90769861653,58934.5168896976,0.5791666666666667,0.5791666666666667,3,0,1,29.0,24606,6551,18055,0.009674981103552582,0.009653886237726894,0,245.56048704040668,29.0,3,2,True,"{0: 3, 1: 39, 2: 21}","{(2, 0): [(21, 9), (9, 30), (30, 3)], (2, 1): [(21, 26), (26, 39)]}","{(0, 3): {'cpu': 27}, (1, 39): {'cpu': 1}, (2, 21): {'cpu': 36}}","{((2, 0), (21, 9)): {'bw': 26}, ((2, 0), (9, 30)): {'bw': 26}, ((2, 0), (30, 3)): {'bw': 26}, ((2, 1), (21, 26)): {'bw': 49}, ((2, 1), (26, 39)): {'bw': 49}}",240.0,139.0,192.0,64.0,75,64.0,75,64.0,176,101,0.5791666666666667,58934.5168896976,34132.90769861653,142.22044874423554,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,"[3, 39, 21]",1.2458333333333333,3.0,3.0,2.0
2,2,2,299.0,526.0,162276.159152953,287990.5788643241,0.5684410646387833,0.5634773185736861,7,1,1,70.0,24320,6470,17850,0.02191987906273618,0.020898469639624828,1,800.8953215896031,70.0,4,4,True,"{0: 2, 1: 22, 2: 37, 3: 43}","{(1, 0): [(22, 18), (18, 16), (16, 2)], (2, 0): [(37, 35), (35, 12), (12, 8), (8, 2)], (2, 1): [(37, 38), (38, 22)], (3, 2): [(43, 25), (25, 37)]}","{(0, 2): {'cpu': 22}, (1, 22): {'cpu': 0}, (2, 37): {'cpu': 17}, (3, 43): {'cpu': 42}}","{((1, 0), (22, 18)): {'bw': 19}, ((1, 0), (18, 16)): {'bw': 19}, ((1, 0), (16, 2)): {'bw': 19}, ((2, 0), (37, 35)): {'bw': 14}, ((2, 0), (35, 12)): {'bw': 14}, ((2, 0), (12, 8)): {'bw': 14}, ((2, 0), (8, 2)): {'bw': 14}, ((2, 1), (37, 38)): {'bw': 23}, ((2, 1), (38, 22)): {'bw': 23}, ((3, 2), (43, 25)): {'bw': 23}, ((3, 2), (25, 37)): {'bw': 23}}",286.0,160.0,243.0,81.0,79,81.0,79,81.0,205,126,0.5594405594405595,229056.0619746265,128143.2514543365,448.05332676341436,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,"[2, 22, 37, 43]",1.3094405594405596,4.0,4.0,4.0
3,3,3,484.0,869.0,266625.81334572483,481460.47825957125,0.5569620253164557,0.5537854619127804,10,2,1,95.0,23977,6378,17599,0.03582766439909302,0.03466622785365581,2,564.0521848257935,95.0,4,4,True,"{0: 3, 1: 42, 2: 5, 3: 45}","{(1, 0): [(42, 26), (26, 11), (11, 3)], (2, 0): [(5, 6), (6, 30), (30, 3)], (3, 0): [(45, 7), (7, 40), (40, 3)], (3, 2): [(45, 7), (7, 5)]}","{(0, 3): {'cpu': 35}, (1, 42): {'cpu': 29}, (2, 5): {'cpu': 24}, (3, 45): {'cpu': 4}}","{((1, 0), (42, 26)): {'bw': 45}, ((1, 0), (26, 11)): {'bw': 45}, ((1, 0), (11, 3)): {'bw': 45}, ((2, 0), (5, 6)): {'bw': 10}, ((2, 0), (6, 30)): {'bw': 10}, ((2, 0), (30, 3)): {'bw': 10}, ((3, 0), (45, 7)): {'bw': 10}, ((3, 0), (7, 40)): {'bw': 10}, ((3, 0), (40, 3)): {'bw': 10}, ((3, 2), (45, 7)): {'bw': 28}, ((3, 2), (7, 5)): {'bw': 28}}",343.0,185.0,276.0,92.0,93,92.0,93,92.0,251,158,0.5393586005830904,193469.89939524716,104349.65419277179,304.2263970634746,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,"[3, 42, 5, 45]",1.2893586005830904,4.0,4.0,4.0
4,4,4,875.0,1630.0,703301.8954988288,1331359.451452697,0.5368098159509203,0.5282584614781751,14,3,1,111.0,23216,6250,16966,0.05517762660619807,0.0693873073336625,3,1116.818624432491,111.0,5,7,True,"{0: 44, 1: 8, 2: 2, 3: 28, 4: 27}","{(1, 0): [(8, 31), (31, 44)], (2, 0): [(2, 30), (30, 4), (4, 44)], (2, 1): [(2, 8)], (3, 2): [(28, 35), (35, 12), (12, 8), (8, 2)], (4, 1): [(27, 23), (23, 34), (34, 2), (2, 8)], (4, 2): [(27, 23), (23, 34), (34, 2)], (4, 3): [(27, 35), (35, 28)]}","{(0, 44): {'cpu': 7}, (1, 8): {'cpu': 38}, (2, 2): {'cpu': 41}, (3, 28): {'cpu': 23}, (4, 27): {'cpu': 19}}","{((1, 0), (8, 31)): {'bw': 49}, ((1, 0), (31, 44)): {'bw': 49}, ((2, 0), (2, 30)): {'bw': 33}, ((2, 0), (30, 4)): {'bw': 33}, ((2, 0), (4, 44)): {'bw': 33}, ((2, 1), (2, 8)): {'bw': 50}, ((3, 2), (28, 35)): {'bw': 0}, ((3, 2), (35, 12)): {'bw': 0}, ((3, 2), (12, 8)): {'bw': 0}, ((3, 2), (8, 2)): {'bw': 0}, ((4, 1), (27, 23)): {'bw': 41}, ((4, 1), (23, 34)): {'bw': 41}, ((4, 1), (34, 2)): {'bw': 41}, ((4, 1), (2, 8)): {'bw': 41}, ((4, 2), (27, 23)): {'bw': 42}, ((4, 2), (23, 34)): {'bw': 42}, ((4, 2), (34, 2)): {'bw': 42}, ((4, 3), (27, 35)): {'bw': 48}, ((4, 3), (35, 28)): {'bw': 48}}",761.0,391.0,384.0,128.0,263,128.0,263,128.0,633,370,0.5137976346911958,849898.9731931257,436676.082153104,573.8187676124888,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,"[44, 8, 2, 28, 27]",1.3137976346911957,5.0,5.0,7.0
5,5,5,1135.0,2072.0,741283.4465806382,1395928.0882917729,0.5477799227799228,0.5310326891464464,18,4,1,131.0,22774,6118,16656,0.07513227513227516,0.08639131150238599,4,146.08288877618986,131.0,5,7,True,"{0: 36, 1: 30, 2: 10, 3: 37, 4: 31}","{(1, 0): [(30, 4), (4, 24), (24, 36)], (2, 1): [(10, 20), (20, 3), (3, 30)], (3, 2): [(37, 38), (38, 20), (20, 10)], (4, 0): [(31, 20), (20, 24), (24, 36)], (4, 1): [(31, 30)], (4, 2): [(31, 20), (20, 10)], (4, 3): [(31, 7), (7, 38), (38, 37)]}","{(0, 36): {'cpu': 50}, (1, 30): {'cpu': 29}, (2, 10): {'cpu': 0}, (3, 37): {'cpu': 36}, (4, 31): {'cpu': 17}}","{((1, 0), (30, 4)): {'bw': 21}, ((1, 0), (4, 24)): {'bw': 21}, ((1, 0), (24, 36)): {'bw': 21}, ((2, 1), (10, 20)): {'bw': 9}, ((2, 1), (20, 3)): {'bw': 9}, ((2, 1), (3, 30)): {'bw': 9}, ((3, 2), (37, 38)): {'bw': 0}, ((3, 2), (38, 20)): {'bw': 0}, ((3, 2), (20, 10)): {'bw': 0}, ((4, 0), (31, 20)): {'bw': 20}, ((4, 0), (20, 24)): {'bw': 20}, ((4, 0), (24, 36)): {'bw': 20}, ((4, 1), (31, 30)): {'bw': 30}, ((4, 2), (31, 20)): {'bw': 14}, ((4, 2), (20, 10)): {'bw': 14}, ((4, 3), (31, 7)): {'bw': 34}, ((4, 3), (7, 38)): {'bw': 34}, ((4, 3), (38, 37)): {'bw': 34}}",442.0,260.0,396.0,132.0,128,132.0,128,132.0,310,182,0.5882352941176471,64568.636839075916,37981.55108180936,85.93111104481757,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,"[36, 30, 10, 37, 31]",1.388235294117647,5.0,5.0,7.0
6,6,6,1276.0,2371.0,768462.8181716471,1453563.7769847636,0.538169548713623,0.5286749920018833,21,5,1,150.0,22475,6037,16438,0.08737717309145876,0.09834896604684329,5,192.7615006454537,150.0,3,2,True,"{0: 4, 1: 26, 2: 6}","{(1, 0): [(26, 11), (11, 30), (30, 4)], (2, 1): [(6, 40), (40, 7), (7, 38), (38, 26)]}","{(0, 4): {'cpu': 9}, (1, 26): {'cpu': 48}, (2, 6): {'cpu': 24}}","{((1, 0), (26, 11)): {'bw': 22}, ((1, 0), (11, 30)): {'bw': 22}, ((1, 0), (30, 4)): {'bw': 22}, ((2, 1), (6, 40)): {'bw': 38}, ((2, 1), (40, 7)): {'bw': 38}, ((2, 1), (7, 38)): {'bw': 38}, ((2, 1), (38, 26)): {'bw': 38}}",299.0,141.0,243.0,81.0,60,81.0,60,81.0,218,158,0.47157190635451507,57635.68869299066,27179.371591008974,90.90090833113369,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,"[4, 26, 6]",1.1382385730211817,3.0,3.0,2.0
7,7,7,1366.0,2567.0,784130.7374726889,1487685.0234625877,0.5321386832878847,0.5270811530034928,21,6,1,177.0,22279,6000,16279,0.09297052154195007,0.10707037463660796,6,174.08799223379668,177.0,3,2,True,"{0: 21, 1: 45, 2: 28}","{(1, 0): [(45, 7), (7, 18), (18, 21)], (2, 0): [(28, 32), (32, 9), (9, 21)]}","{(0, 21): {'cpu': 22}, (1, 45): {'cpu': 8}, (2, 28): {'cpu': 7}}","{((1, 0), (45, 7)): {'bw': 6}, ((1, 0), (7, 18)): {'bw': 6}, ((1, 0), (18, 21)): {'bw': 6}, ((2, 0), (28, 32)): {'bw': 47}, ((2, 0), (32, 9)): {'bw': 47}, ((2, 0), (9, 21)): {'bw': 47}}",196.0,90.0,111.0,37.0,53,37.0,53,37.0,159,106,0.45918367346938777,34121.24647782415,15667.919301041702,79.93836378082501,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,"[21, 45, 28]",1.1258503401360545,3.0,3.0,2.0
8,8,8,1625.0,3069.0,802154.5911209639,1522619.2880627194,0.5294884327142392,0.5268254496772944,23,7,1,202.0,21777,5918,15859,0.10536659108087676,0.13010805770391087,7,69.59016852615848,202.0,5,8,True,"{0: 36, 1: 11, 2: 21, 3: 3, 4: 7}","{(1, 0): [(11, 41), (41, 36)], (2, 1): [(21, 9), (9, 12), (12, 11)], (3, 0): [(3, 20), (20, 24), (24, 36)], (3, 1): [(3, 11)], (3, 2): [(3, 11), (11, 26), (26, 21)], (4, 0): [(7, 43), (43, 0), (0, 36)], (4, 2): [(7, 18), (18, 21)], (4, 3): [(7, 40), (40, 3)]}","{(0, 36): {'cpu': 9}, (1, 11): {'cpu': 5}, (2, 21): {'cpu': 7}, (3, 3): {'cpu': 36}, (4, 7): {'cpu': 25}}","{((1, 0), (11, 41)): {'bw': 11}, ((1, 0), (41, 36)): {'bw': 11}, ((2, 1), (21, 9)): {'bw': 39}, ((2, 1), (9, 12)): {'bw': 39}, ((2, 1), (12, 11)): {'bw': 39}, ((3, 0), (3, 20)): {'bw': 7}, ((3, 0), (20, 24)): {'bw': 7}, ((3, 0), (24, 36)): {'bw': 7}, ((3, 1), (3, 11)): {'bw': 21}, ((3, 2), (3, 11)): {'bw': 10}, ((3, 2), (11, 26)): {'bw': 10}, ((3, 2), (26, 21)): {'bw': 10}, ((4, 0), (7, 43)): {'bw': 31}, ((4, 0), (43, 0)): {'bw': 31}, ((4, 0), (0, 36)): {'bw': 31}, ((4, 2), (7, 18)): {'bw': 36}, ((4, 2), (18, 21)): {'bw': 36}, ((4, 3), (7, 40)): {'bw': 22}, ((4, 3), (40, 3)): {'bw': 22}}",502.0,259.0,246.0,82.0,177,82.0,177,82.0,420,243,0.5159362549800797,34934.26460013156,18023.853648275046,35.90409093281882,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,"[36, 11, 21, 3, 7]",1.3159362549800797,5.0,5.0,8.0
9,9,9,1878.0,3483.0,805933.7292860292,1528803.3323328262,0.5391903531438416,0.5271663870958743,25,8,1,227.0,21363,5778,15585,0.12653061224489792,0.1451374033240086,8,14.937305000258293,227.0,5,6,True,"{0: 2, 1: 4, 2: 45, 3: 16, 4: 25}","{(1, 0): [(4, 30), (30, 2)], (2, 0): [(45, 14), (14, 34), (34, 2)], (3, 1): [(16, 1), (1, 4)], (4, 1): [(25, 14), (14, 33), (33, 4)], (4, 2): [(25, 45)], (4, 3): [(25, 14), (14, 33), (33, 1), (1, 16)]}","{(0, 2): {'cpu': 0}, (1, 4): {'cpu': 38}, (2, 45): {'cpu': 37}, (3, 16): {'cpu': 36}, (4, 25): {'cpu': 29}}","{((1, 0), (4, 30)): {'bw': 15}, ((1, 0), (30, 2)): {'bw': 15}, ((2, 0), (45, 14)): {'bw': 22}, ((2, 0), (14, 34)): {'bw': 22}, ((2, 0), (34, 2)): {'bw': 22}, ((3, 1), (16, 1)): {'bw': 50}, ((3, 1), (1, 4)): {'bw': 50}, ((4, 1), (25, 14)): {'bw': 8}, ((4, 1), (14, 33)): {'bw': 8}, ((4, 1), (33, 4)): {'bw': 8}, ((4, 2), (25, 45)): {'bw': 6}, ((4, 3), (25, 14)): {'bw': 12}, ((4, 3), (14, 33)): {'bw': 12}, ((4, 3), (33, 1)): {'bw': 12}, ((4, 3), (1, 16)): {'bw': 12}}",414.0,253.0,420.0,140.0,113,140.0,113,140.0,274,161,0.6111111111111112,6184.044270106933,3779.1381650653484,9.128353055713402,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,"[2, 4, 45, 16, 25]",1.4111111111111112,5.0,5.0,6.0
9,9,8,1878.0,3483.0,805933.7292860292,1528803.3323328262,0.5391903531438416,0.5271663870958743,25,9,0,241.9373050002583,21777,5918,15859,0.10536659108087676,0.13010805770391087,8,14.937305000258293,227.0,5,6,False,{},{},{},{},0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,Leave Event,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],,,,
