v_net_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,long_term_r2c_ratio,long_term_time_r2c_ratio,num_running_p_net_nodes,event_id,event_type,event_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,v_net_id,v_net_lifetime,v_net_arrival_time,v_net_num_nodes,v_net_num_egdes,result,node_slots,link_paths,node_slots_info,link_paths_info,v_net_cost,v_net_revenue,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_node_revenue,v_net_link_revenue,v_net_node_cost,v_net_link_cost,v_net_path_cost,v_net_r2c_ratio,v_net_time_cost,v_net_time_revenue,v_net_time_rc_ratio,description,v_net_violation,v_net_current_violation,v_net_place_violation,v_net_route_violation,v_net_budget,v_net_place_budget,v_net_route_budget,place_result,route_result,early_rejection,revoke_times,selected_actions,v_net_reward,num_interactions,num_placed_nodes,num_routed_links
1,1,1,139.0,240.0,34132.90769861653,58934.5168896976,0.5791666666666667,0.5791666666666667,3,0,1,29.0,7099,2589,4510,0.0241236336223144,0.03755868544600938,0,245.56048704040668,29.0,3,2,True,"{0: 6, 1: 5, 2: 25}","{(2, 0): [(25, 1), (1, 22), (22, 6)], (2, 1): [(25, 21), (21, 5)]}","{(0, 6): {'cpu': 27}, (1, 5): {'cpu': 1}, (2, 25): {'cpu': 36}}","{((2, 0), (25, 1)): {'bw': 26}, ((2, 0), (1, 22)): {'bw': 26}, ((2, 0), (22, 6)): {'bw': 26}, ((2, 1), (25, 21)): {'bw': 49}, ((2, 1), (21, 5)): {'bw': 49}}",240.0,139.0,192.0,64.0,75,64.0,75,64.0,176,101,0.5791666666666667,58934.5168896976,34132.90769861653,142.22044874423554,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,"[6, 5, 25]",1.2458333333333333,3.0,3.0,2.0
2,2,2,299.0,493.0,162276.159152953,261561.0332518672,0.6064908722109533,0.6204141233709344,7,1,1,70.0,6846,2508,4338,0.054655107425556015,0.07426376440460947,1,800.8953215896031,70.0,4,4,True,"{0: 3, 1: 8, 2: 1, 3: 19}","{(1, 0): [(8, 9), (9, 3)], (2, 0): [(1, 8), (8, 9), (9, 3)], (2, 1): [(1, 8)], (3, 2): [(19, 28), (28, 5), (5, 1)]}","{(0, 3): {'cpu': 22}, (1, 8): {'cpu': 0}, (2, 1): {'cpu': 17}, (3, 19): {'cpu': 42}}","{((1, 0), (8, 9)): {'bw': 19}, ((1, 0), (9, 3)): {'bw': 19}, ((2, 0), (1, 8)): {'bw': 14}, ((2, 0), (8, 9)): {'bw': 14}, ((2, 0), (9, 3)): {'bw': 14}, ((2, 1), (1, 8)): {'bw': 23}, ((3, 2), (19, 28)): {'bw': 23}, ((3, 2), (28, 5)): {'bw': 23}, ((3, 2), (5, 1)): {'bw': 23}}",253.0,160.0,243.0,81.0,79,81.0,79,81.0,172,93,0.6324110671936759,202626.51636216958,128143.2514543365,506.49506503690316,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,"[3, 8, 1, 19]",1.3824110671936758,4.0,4.0,4.0
3,3,3,484.0,796.0,266625.81334572483,432468.8452540826,0.6080402010050251,0.6165202794875958,9,2,1,95.0,6543,2416,4127,0.08933283075763288,0.1192915066154503,2,564.0521848257935,95.0,4,4,True,"{0: 1, 1: 30, 2: 32, 3: 25}","{(1, 0): [(30, 9), (9, 22), (22, 1)], (2, 0): [(32, 1)], (3, 0): [(25, 1)], (3, 2): [(25, 1), (1, 32)]}","{(0, 1): {'cpu': 35}, (1, 30): {'cpu': 29}, (2, 32): {'cpu': 24}, (3, 25): {'cpu': 4}}","{((1, 0), (30, 9)): {'bw': 45}, ((1, 0), (9, 22)): {'bw': 45}, ((1, 0), (22, 1)): {'bw': 45}, ((2, 0), (32, 1)): {'bw': 10}, ((3, 0), (25, 1)): {'bw': 10}, ((3, 2), (25, 1)): {'bw': 28}, ((3, 2), (1, 32)): {'bw': 28}}",303.0,185.0,276.0,92.0,93,92.0,93,92.0,211,118,0.6105610561056105,170907.81200221542,104349.65419277179,344.38829766591346,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,"[1, 30, 32, 25]",1.3605610561056105,4.0,4.0,4.0
4,3,3,484.0,796.0,266625.81334572483,432468.8452540826,0.6080402010050251,0.6165202794875958,9,3,1,111.0,6543,2416,4127,0.08933283075763288,0.1192915066154503,3,1116.818624432491,111.0,5,7,False,"{0: 19, 1: 16, 2: 9}","{(1, 0): [(16, 31), (31, 11), (11, 20), (20, 19)], (2, 0): []}","{(0, 19): {'cpu': 7}, (1, 16): {'cpu': 38}, (2, 9): {'cpu': 41}}","{((1, 0), (16, 31)): {'bw': 49}, ((1, 0), (31, 11)): {'bw': 49}, ((1, 0), (11, 20)): {'bw': 49}, ((1, 0), (20, 19)): {'bw': 49}}",0.0,0.0,384.0,128.0,263,0.0,0,45.0,49,0,0.0,0.0,0.0,0.0,Route Failure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,0,"[19, 16, 9]",0.2,3.0,3.0,2.0
5,4,4,744.0,1288.0,304607.36442753416,504341.626531968,0.577639751552795,0.6039703018807361,10,4,1,131.0,6051,2284,3767,0.13908782510365625,0.19611609048228762,4,146.08288877618986,131.0,5,7,True,"{0: 8, 1: 7, 2: 3, 3: 32, 4: 25}","{(1, 0): [(7, 20), (20, 21), (21, 8)], (2, 1): [(3, 21), (21, 20), (20, 7)], (3, 2): [(32, 5), (5, 21), (21, 3)], (4, 0): [(25, 21), (21, 8)], (4, 1): [(25, 12), (12, 2), (2, 20), (20, 7)], (4, 2): [(25, 27), (27, 21), (21, 3)], (4, 3): [(25, 27), (27, 32)]}","{(0, 8): {'cpu': 50}, (1, 7): {'cpu': 29}, (2, 3): {'cpu': 0}, (3, 32): {'cpu': 36}, (4, 25): {'cpu': 17}}","{((1, 0), (7, 20)): {'bw': 21}, ((1, 0), (20, 21)): {'bw': 21}, ((1, 0), (21, 8)): {'bw': 21}, ((2, 1), (3, 21)): {'bw': 9}, ((2, 1), (21, 20)): {'bw': 9}, ((2, 1), (20, 7)): {'bw': 9}, ((3, 2), (32, 5)): {'bw': 0}, ((3, 2), (5, 21)): {'bw': 0}, ((3, 2), (21, 3)): {'bw': 0}, ((4, 0), (25, 21)): {'bw': 20}, ((4, 0), (21, 8)): {'bw': 20}, ((4, 1), (25, 12)): {'bw': 30}, ((4, 1), (12, 2)): {'bw': 30}, ((4, 1), (2, 20)): {'bw': 30}, ((4, 1), (20, 7)): {'bw': 30}, ((4, 2), (25, 27)): {'bw': 14}, ((4, 2), (27, 21)): {'bw': 14}, ((4, 2), (21, 3)): {'bw': 14}, ((4, 3), (25, 27)): {'bw': 34}, ((4, 3), (27, 32)): {'bw': 34}}",492.0,260.0,396.0,132.0,128,132.0,128,132.0,360,232,0.5284552845528455,71872.78127788541,37981.55108180936,77.1982745565231,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,"[8, 7, 3, 32, 25]",1.3284552845528457,5.0,5.0,7.0
6,5,5,885.0,1527.0,331786.73601854313,550411.6251862315,0.5795677799607073,0.6027974716309512,13,5,1,150.0,5812,2203,3609,0.16961929890689786,0.22983354673495515,5,192.7615006454537,150.0,3,2,True,"{0: 27, 1: 24, 2: 9}","{(1, 0): [(24, 8), (8, 27)], (2, 1): [(9, 30), (30, 33), (33, 24)]}","{(0, 27): {'cpu': 9}, (1, 24): {'cpu': 48}, (2, 9): {'cpu': 24}}","{((1, 0), (24, 8)): {'bw': 22}, ((1, 0), (8, 27)): {'bw': 22}, ((2, 1), (9, 30)): {'bw': 38}, ((2, 1), (30, 33)): {'bw': 38}, ((2, 1), (33, 24)): {'bw': 38}}",239.0,141.0,243.0,81.0,60,81.0,60,81.0,158,98,0.5899581589958159,46069.998654263436,27179.371591008974,113.72122004606265,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,"[27, 24, 9]",1.2566248256624826,3.0,3.0,2.0
7,6,6,975.0,1623.0,347454.6553195848,567124.0724406759,0.600739371534196,0.6126607425149112,14,6,1,177.0,5716,2166,3550,0.1835657745947984,0.24242424242424243,6,174.08799223379668,177.0,3,2,True,"{0: 27, 1: 29, 2: 1}","{(1, 0): [(29, 1), (1, 27)], (2, 0): [(1, 27)]}","{(0, 27): {'cpu': 22}, (1, 29): {'cpu': 8}, (2, 1): {'cpu': 7}}","{((1, 0), (29, 1)): {'bw': 6}, ((1, 0), (1, 27)): {'bw': 6}, ((2, 0), (1, 27)): {'bw': 47}}",96.0,90.0,111.0,37.0,53,37.0,53,37.0,59,6,0.9375,16712.44725444448,15667.919301041702,163.2074927191844,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,"[27, 29, 1]",1.6041666666666665,3.0,3.0,2.0
8,7,7,1234.0,2158.0,365478.50896785985,604354.8126021707,0.571825764596849,0.604741620893559,15,7,1,202.0,5181,2084,3097,0.2144741801733886,0.33909517712334614,7,69.59016852615848,202.0,5,8,True,"{0: 27, 1: 22, 2: 30, 3: 29, 4: 5}","{(1, 0): [(22, 9), (9, 8), (8, 27)], (2, 1): [(30, 3), (3, 9), (9, 6), (6, 22)], (3, 0): [(29, 32), (32, 27)], (3, 1): [(29, 1), (1, 22)], (3, 2): [(29, 28), (28, 3), (3, 30)], (4, 0): [(5, 21), (21, 27)], (4, 2): [(5, 33), (33, 30)], (4, 3): [(5, 1), (1, 29)]}","{(0, 27): {'cpu': 9}, (1, 22): {'cpu': 5}, (2, 30): {'cpu': 7}, (3, 29): {'cpu': 36}, (4, 5): {'cpu': 25}}","{((1, 0), (22, 9)): {'bw': 11}, ((1, 0), (9, 8)): {'bw': 11}, ((1, 0), (8, 27)): {'bw': 11}, ((2, 1), (30, 3)): {'bw': 39}, ((2, 1), (3, 9)): {'bw': 39}, ((2, 1), (9, 6)): {'bw': 39}, ((2, 1), (6, 22)): {'bw': 39}, ((3, 0), (29, 32)): {'bw': 7}, ((3, 0), (32, 27)): {'bw': 7}, ((3, 1), (29, 1)): {'bw': 21}, ((3, 1), (1, 22)): {'bw': 21}, ((3, 2), (29, 28)): {'bw': 10}, ((3, 2), (28, 3)): {'bw': 10}, ((3, 2), (3, 30)): {'bw': 10}, ((4, 0), (5, 21)): {'bw': 31}, ((4, 0), (21, 27)): {'bw': 31}, ((4, 2), (5, 33)): {'bw': 36}, ((4, 2), (33, 30)): {'bw': 36}, ((4, 3), (5, 1)): {'bw': 22}, ((4, 3), (1, 29)): {'bw': 22}}",535.0,259.0,246.0,82.0,177,82.0,177,82.0,453,276,0.48411214953271026,37230.74016149479,18023.853648275046,33.68944607154214,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,"[27, 22, 30, 29, 5]",1.2841121495327104,5.0,5.0,8.0
9,7,7,1234.0,2158.0,365478.50896785985,604354.8126021707,0.571825764596849,0.604741620893559,15,8,1,227.0,5181,2084,3097,0.2144741801733886,0.33909517712334614,8,14.937305000258293,227.0,5,6,False,"{0: 20, 1: 21, 2: 28, 3: 13}","{(1, 0): [(21, 20)], (2, 0): [(28, 19), (19, 20)], (3, 1): []}","{(0, 20): {'cpu': 0}, (1, 21): {'cpu': 38}, (2, 28): {'cpu': 37}, (3, 13): {'cpu': 36}}","{((1, 0), (21, 20)): {'bw': 15}, ((2, 0), (28, 19)): {'bw': 22}, ((2, 0), (19, 20)): {'bw': 22}}",0.0,0.0,420.0,140.0,113,0.0,0,75.0,37,0,0.0,0.0,0.0,0.0,Route Failure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,0,"[20, 21, 28, 13]",0.4000000000000001,4.0,4.0,3.0
9,7,7,1234.0,2158.0,365478.50896785985,604354.8126021707,0.571825764596849,0.604741620893559,15,9,0,241.9373050002583,5181,2084,3097,0.2144741801733886,0.33909517712334614,8,14.937305000258293,227.0,5,6,False,{},{},{},{},0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,Leave Event,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],,,,
